,Liv-ex 100,"ECONOMICS_USCPI, M",liv-ex Champagne 50,liv-ex Italy 100,liv-ex Rhone 100,liv-ex California 50,liv-ex Investables,Liv-ex Fine Wine 1000,Liv-ex Indices,liv-ex Burgundy 150,liv-ex Bordeaux Legends,"ECONOMICS_USINTR, 1M"
Liv-ex 100,1.0,0.6831634978928586,0.8294117533367451,0.7710139973109812,0.8067670631761574,0.7541053830174516,0.97178159526917,0.870567471745378,0.8063512525607843,0.8063512525607843,0.9239702015251234,0.5521781914408296
"ECONOMICS_USCPI, M",0.6831634978928586,1.0,0.9247120752850104,0.9468379495063145,0.656380303269209,0.8632205233992903,0.6604254149118124,0.8679992817207622,0.9114155378887194,0.9114155378887194,0.7594018339104055,0.840021196747955
liv-ex Champagne 50,0.8294117533367451,0.9247120752850104,1.0,0.9762135360689386,0.866594496049206,0.9390849517272262,0.8139285424063266,0.9708653871941584,0.9830431826673949,0.9830431826673949,0.8894635623582939,0.7171685604659328
liv-ex Italy 100,0.7710139973109812,0.9468379495063145,0.9762135360689386,1.0,0.8380312871425433,0.9634917159112432,0.7909546407005476,0.9672403012127871,0.982136454697193,0.982136454697193,0.8862541562229338,0.7236556503471125
liv-ex Rhone 100,0.8067670631761574,0.656380303269209,0.866594496049206,0.8380312871425433,1.0,0.8705528791460322,0.8467718650961827,0.9138641918476982,0.8801377477964016,0.8801377477964016,0.8843332342258823,0.3686544651328405
liv-ex California 50,0.7541053830174516,0.8632205233992903,0.9390849517272262,0.9634917159112432,0.8705528791460322,1.0,0.8096076050911781,0.9696475291828801,0.9718371749092297,0.9718371749092297,0.9144172137515824,0.6449801504414816
liv-ex Investables,0.97178159526917,0.6604254149118124,0.8139285424063266,0.7909546407005476,0.8467718650961827,0.8096076050911781,1.0,0.8980444624685437,0.8229182387494723,0.8229182387494723,0.9676480352674252,0.5155644971004786
Liv-ex Fine Wine 1000,0.870567471745378,0.8679992817207622,0.9708653871941584,0.9672403012127871,0.9138641918476982,0.9696475291828801,0.8980444624685437,1.0,0.9871370853419226,0.9871370853419226,0.9646600775802051,0.6759240241137475
Liv-ex Indices,0.8063512525607843,0.9114155378887194,0.9830431826673949,0.982136454697193,0.8801377477964016,0.9718371749092297,0.8229182387494723,0.9871370853419226,1.0,1.0,0.9168344231731299,0.7244776904272331
liv-ex Burgundy 150,0.8063512525607843,0.9114155378887194,0.9830431826673949,0.982136454697193,0.8801377477964016,0.9718371749092297,0.8229182387494723,0.9871370853419226,1.0,1.0,0.9168344231731299,0.7244776904272331
liv-ex Bordeaux Legends,0.9239702015251234,0.7594018339104055,0.8894635623582939,0.8862541562229338,0.8843332342258823,0.9144172137515824,0.9676480352674252,0.9646600775802051,0.9168344231731299,0.9168344231731299,1.0,0.6126318918640112
"ECONOMICS_USINTR, 1M",0.5521781914408296,0.840021196747955,0.7171685604659328,0.7236556503471125,0.3686544651328405,0.6449801504414816,0.5155644971004786,0.6759240241137475,0.7244776904272331,0.7244776904272331,0.6126318918640112,1.0
